iter	Passed	Remaining
689	54811	16046
690	54886	15965
691	54942	15879
692	55028	15801
693	55084	15715
694	55147	15631
695	55274	15565
696	55366	15489
697	55479	15419
698	55585	15347
699	55674	15270
700	55731	15184
701	55848	15115
702	55962	15045
703	56110	14983
704	56173	14899
705	56249	14819
706	56381	14753
707	56486	14680
708	56610	14611
709	56692	14532
710	56774	14453
711	56847	14371
712	56881	14280
713	56990	14207
714	57055	14124
715	57167	14052
716	57239	13970
717	57309	13888
718	57384	13807
719	57429	13719
720	57498	13637
721	57607	13564
722	57669	13480
723	57756	13402
724	57874	13331
725	58054	13274
726	58130	13193
727	58225	13116
728	58315	13038
729	58447	12970
730	58545	12894
731	58614	12811
732	58687	12730
733	58761	12648
734	58824	12565
735	58923	12489
736	59026	12413
737	59125	12337
738	59207	12258
739	59278	12176
740	59328	12089
741	59371	12002
742	59428	11917
743	59494	11834
744	59549	11750
745	59619	11668
746	59724	11593
747	59825	11517
748	59976	11450
749	60064	11372
750	60208	11304
751	60314	11228
752	60433	11155
753	60554	11082
754	60642	11004
755	60721	10923
756	60766	10836
757	60861	10759
758	60935	10677
759	61010	10596
760	61110	10519
761	61177	10437
762	61289	10362
763	61351	10278
764	61419	10196
765	61526	10120
766	61688	10053
767	61775	9974
768	61892	9899
769	61969	9818
770	62080	9742
771	62184	9665
772	62290	9589
773	62367	9508
774	62445	9427
775	62555	9351
776	62643	9271
777	62737	9192
778	62803	9110
779	62868	9027
780	62946	8946
781	62996	8861
782	63131	8788
783	63200	8706
784	63282	8625
785	63378	8547
786	63458	8466
787	63507	8381
788	63663	8310
789	63791	8236
790	63835	8150
791	63926	8071
792	64008	7990
793	64116	7913
794	64231	7837
795	64306	7755
796	64388	7674
797	64484	7595
798	64535	7511
799	64590	7427
800	64656	7345
801	64781	7269
802	64820	7184
803	64891	7102
804	65005	7025
805	65088	6944
806	65194	6866
807	65312	6789
808	65428	6712
809	65501	6631
810	65567	6548
811	65644	6467
812	65732	6387
813	65847	6309
814	65975	6233
815	66029	6149
816	66109	6068
817	66234	5991
818	66310	5910
819	66439	5833
820	66545	5754
821	66657	5676
822	66737	5595
823	66811	5513
824	66888	5432
825	67007	5354
826	67114	5275
827	67190	5193
828	67294	5114
829	67437	5037
830	67529	4957
831	67603	4875
832	67669	4792
833	67761	4712
834	67866	4632
835	68032	4557
836	68117	4476
837	68268	4399
838	68368	4318
839	68524	4241
840	68684	4165
841	68763	4083
842	68838	4001
843	68889	3917
844	68974	3836
845	69100	3757
846	69188	3675
847	69260	3593
848	69340	3511
849	69432	3430
850	69498	3348
851	69552	3265
852	69617	3182
853	69674	3100
854	69745	3018
855	69812	2936
856	69887	2854
857	69925	2770
858	69995	2688
859	70072	2607
860	70154	2525
861	70240	2444
862	70355	2364
863	70425	2282
864	70481	2200
865	70520	2117
866	70568	2034
867	70591	1951
868	70647	1869
869	70700	1787
870	70752	1705
871	70833	1624
872	70881	1542
873	70926	1460
874	70968	1378
875	71004	1296
876	71072	1215
877	71150	1134
878	71213	1053
879	71265	971
880	71366	891
881	71448	810
882	71513	728
883	71547	647
884	71600	566
885	71656	485
886	71685	404
887	71755	323
888	71825	242
889	71954	161
890	72076	80
891	72156	0
